Id.;Título;Autor;Fecha;Periódico / institución;Resumen;Lugar;Demanda;Actor demandante;Actor demandado;Actor Mediador;Otro actor;Acción conflictiva;evento nuevo;Tipo de evento conflictivo;Sector demandante;Sector demandado;Sector mediador;Sector otro actor;Escala del conflicto;Episodio conflictivo;Campo de conflicto;Región;Municipio;Cuenca, Fuente o cuerpo de agua;Lugar para georeferencia;Latitud;Longitud;Texto completo;observaciones
11;Quillacollo contamina el río Rocha con aguas servidas por falta de planta de tratamiento;;6/5/09;Opinión;Alrededor de 150 litros por segundo de aguas servidas desfogan al río Rocha en el municipio de Quillacollo, debido a que esta jurisdicción no cuenta con una planta de tratamiento de agua.;Quillacollo;Estudio de contaminacion de rio Rocha;;GAM Quillacollo;;Viceministro de Agua Potable y Saneamiento;Autoridades buscan lugar para la construcción de planta de tratamiento;SI;Contaminación de aguas;;Gob municipal;;Gob central ejecutivo;Análisis/ propuesta;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Quillacollo;Río Rocha;Quillacollo;-17.419691;-66.283363;Link;
12;Vecinos del sur bloquean por agua;;15/5/09;Los Tiempos;Un grupo de juntas vecinales del distrito 8 bloqueó ayer la avenida Petrolera, exigiendo recursos para la reactivación del proyecto “Agua para el Sur” y desconociendo a los dirigentes de la zona, según dijeron, por haber permitido el despilfarro de los 2 millones de dólares que el Servicio Municipal de AguaPotable y Alcantarillado (Semapa) recibió para extender la red de agua.;Cochabamba;Exigen la reactivación del proyecto aguas del sur;Vecinos distrito 8;Prefectura Cochabamba;;SEMAPA;bloqueo de avenida;SI;Demanda de agua potable;Org. Vecinal;Gob departamental;;EPSAS;Manifiesto/ confrontación;Agua Zona Sur;Reproducción social;Metropolitana;Cochabamba;Sin fuente específica;Av. Petrolera Subalcaldía A. Calatayud;-17.452530;-66.129200;Link;
13;Cochabamba debe pagar Misicuni;Gisela Alcócer Caero;21/5/09;Los Tiempos;Cochabamba tendrá que asumir el costo del Proyecto Múltiple Misicuni con los recursos que recibe por regalías hidrocarburíferas y la Prefectura no contará con recursos para impulsar el desarrollo regional. Aunque esta disposición está establecida en un decreto supremo promulgado por el presidente Evo Morales, en el Ministerio del Agua, según anunció, evalúa las opciones existentes para que estos costos sean financiados con otros ingresos sin afectar el presupuesto de la región.;Misicuni;Conclusión del Proyecto Misicuni;;Prefectura Cochabamba;;;Exigen que se concluya las obras;NO;Implementación de proyecto;;Gob departamental;;;Análisis/ propuesta;Misicuni Proyecto;Reproducción social;Metropolitana;Cochabamba;Represa Misicuni;;;;Link;
14;Piden plan para salvar la laguna;;25/5/09;Los Tiempos;El Concejo Municipal de Cochabamba le otorgó al alcalde Gonzalo Terceros, bajo responsabilidad funcionaria, 10 días para la ejecución inmediata de un plan y/o programa especial de emergencia para la recuperación y conservación del espejo de agua de la laguna Alalay y su entorno.;Laguna Alalay;Piden salvar la laguna;;GAM Cercado;;;Consejo conmina a alcalde a elaborar un plan en diez días;Si;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
15;Esquilán teme volverse otro Albarrancho;Sandra Arias;26/5/09;Los Tiempos;Los vecinos de Esquilán temen que la planta de tratamiento de aguas servidas que debe construirse en su zona, dentro el proyecto de alcantarillado de la Mancomunidad Colcapirhua-Tiquipaya (Macoti), la convierta en campo estéril y contaminado, similar a lo ocurrido con Albarrancho y las lagunas de tratamiento construidas allí por el Servicio Municipal de Agua Potable y Alcantarillado (Semapa).;Esquilan;Rechazan construcción de planta de tratamiento;Vecinos de Esquilan;GAM Colcapirhua;;GAM Tiquipaya;Rechazan construcción de obra en su zona;SI;Implementación de proyecto;Org. Vecinal;Gob municipal;;Gob municipal;En ciernes;Macoti;Ecológico / ambiental;Metropolitana;Colcapirhua;Sin fuente específica;Esquilán;-17.424784;-66.246608;Link;
16;Misicuni: pasó un mes y aún no inician obras;Gisela Alcócer Caero;18/6/09;Los Tiempos;Pasaron 32 días de la firma del contrato para la construcción de una presa de 120 metros de altura, que forma parte de la segunda fase del Proyecto Múltiple Misicuni, y todo sigue igual en la zona, pues el consorcio adjudicatario aún no instaló sus campamentos.;Misicuni;Exigen reiniciar obras;;Prefectura Cochabamba;;;Quieren que se inicie contrucción de obras;SI;Implementación de proyecto;;Gob municipal;;;Análisis/ propuesta;Misicuni Proyecto;Reproducción social;Metropolitana;Todos los de la región;Represa Misicuni;Represa Misicuni;-17.097694;-66.329811;Link;
17;Problemas de Alalay llevarán a juicio a 6 altas autoridades;;4/7/09;Los Tiempos;El alcalde Gonzalo Terceros, el prefecto Jorge Ledezma, los ministros de Desarrollo Rural, y del Agua, René Orellana, además del rector de la Universidad Mayor de San Simón, Juan Ríos, y el gerente de Semapa, Leonardo Anaya, serán denunciados ante el Ministerio Público, el Congreso y la Contraloría, por no cumplir las leyes y no poner una solución a los problemas de la laguna Alalay.;Cochabamba;Exigen responsabilidades por no cumplir el mantenimiento de la Ñaguna ;Diputado de Podemos y de la Comité de defensa del Medio Ambiente;GAM Cercado;;UMSS;Analizan iniciar juicio a autoridades responsables de Alalay;NO;Contaminación de aguas;Otros;Gob municipal;;Universidad;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;;;;Link;
18;Cuestionan acuerdos de Tiquipaya con Semapa;;22/7/09;Los Tiempos;La directiva de la Asociación de Sistemas Comunitarios de Agua del Sur (Asicasur) denunció que comunidades de Tiquipaya gestionaron obras, a ser construidas por el Servicio Municipal de Agua Potable y Alcantarillado (Semapa), a cambio de permitir el paso de agua hacia Cercado.;Cochabamba;Rechazan acuerdo de obras con comunarios de Tiquipaya;Directiva de ASICASUR;Semapa;;GAM Tiquipaya;Denuncian el acuerdo entre SEMAPA y comunarios de Tiquipaya;expediente;Demanda de agua potable;EPSAS;EPSAS;;Gob municipal;En ciernes;Semapa Gestión;Reproducción social;Metropolitana;Tiquipaya;Sin fuente específica;;;;Link;
19;Dos comunidades se enfrentan por un pozo;;29/7/09;Los Tiempos;Las comunidades de Higuerani y Azirumarca están enfrentadas por la perforación de un pozo. El conflicto derivó ayer en un amago de pelea entre los pobladores, pero la intervención de un contingente de policías antimotines de la Unidad Táctica de Operaciones Policiales (UTOP) apaciguó los ánimos.;Azirumarca;Pobladores de Azirumarca rechazan la perforación de un pozo que beneficiaría a Higuerani.;Pobladores de Azirumarca;Comunidad de Higuierani;;;Enfrentamiento y control policial;SI;Implementación de proyecto;Org. Campesina;Org. Campesina;;;Manifiesto/ confrontación;A Higuerani Azirumarca;Reproducción social;Metropolitana;Cochabamba;Pozo Azirumarca Higuerani;Azirumarca;-17.462933;-66.226561;Link;
20;Vecinos del sur bloquean y toman una subalcaldía;;29/7/09;Los Tiempos;Vecinos del distrito municipal 8 de Cercado bloquearon ayer la avenida Petrolera, tomaron la subalcaldía Alejo Calatayud y tuvieron como rehenes a los trabajadores de la comuna exigiendo el cumplimiento de un acuerdo de siete puntos para dotar de servicios a la región.;Cochabamba;Exigen acuerdo de siete puntos;Vecinos del Distrito 8;GAM Cercado;;;Bloqueo de avenida y toma de rehenes;SI;Demanda de agua potable;Org. Vecinal;Gob municipal;;;Manifiesto/ confrontación;Agua Zona Sur;Reproducción social;Metropolitana;Cochabamba;Sin fuente específica;Subalcaldía A. Calatayud;-17.452530;-66.129200;Link;
21;El río Rocha es un ducto de agua de alcantarilla, residuos químicos y basura;;2/8/09;Opinión;Martín Reyes cuenta que en las noches llegaba el agua caudalosamente, sonando como una tormenta, como un temblor llevando piedras gigantes y se despertaban con miedo, porque sus hermanas mayores y papás siempre les contaban que así se lo había llevado el puente de Quillacollo, en construcción por ahí de 1950 ó 52 en dos ocasiones. En una ocasión se desbordó hasta el Hipódromo y al Norte hasta Cala Cala.;Cochabamba;Limpieza del rio Rocha;;GAM Cercado;;;Exigen limpieza del rio Rocha;SI;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Cochabamba;Río Rocha;Río Rocha;-17.382489;-66.162185;Link;
22;Cada día botan 30 volquetadas de escombros y basura al río Rocha;;4/8/09;Opinión;Los vecinos están divididos, porque unos apoyan el depósito de escombros y basura y otros, lo rechazan. Esta acción está cerrando la torrentera Thajo Mayu, pero además los vecinos talaron árboles. Las autoridades no ejercen ningún control.;Cochabamba;Rechazan que se bote escombros al rio Rocha;Vecinos de Barrio Irlandes;GAM Cercado;;;Exigen mayor control de la alcaldia;Si;Contaminación de aguas;Org. Vecinal;Gob municipal;;;En ciernes;Rio Rocha Contaminación;Reproducción social;Metropolitana;Cochabamba;Río Rocha;Barrio Irlandés;-17.373608;-66.133533;Link;
23;Vinto hizo 5 pozos y aún no hay agua;Sandra Arias;11/8/09;Los Tiempos;En menos de seis meses, la Alcaldía de Vinto gastó más de 500 mil bolivianos en la perforación de cinco pozos de agua, pero no previó equipos de succión ni redes de distribución. Los vecinos se quejan porque no tienen agua a veces durante semanas y los pozos tienen poca profundidad y denunciaron que la Alcaldía hizo contratos con sobreprecio. La alcaldesa Estefanía Vargas respondió que los pozos funcionarán pronto, cuando el municipio compre los accesorios.;Vinto;Exigen el funcionamiento de los pozo de agua;Vecinos de Vinto;GAM Vinto;;;Dirigentes vecinales investigan sobreprecios ;NO;Implementación de proyecto;Org. Vecinal;Gob municipal;;;En ciernes;Aislado;Reproducción social;Metropolitana;Vinto;Sin fuente específica;;;;Link;
24;Esquilán logra revisión del proyecto Macoti;;13/8/09;Los Tiempos;Las constantes protestas de las OTBs de la zona de Esquilán, que se rehúsan a aceptar que se construya una planta de tratamiento de aguas de alcantarilla en su jurisdicción, como parte del proyecto de agua y alcantarillado de la Mancomunidad Colcapirhua-Tiquipaya (Macoti), lograron ayer su objetivo.;Esquilán;Rechazan construcción de planta de tratamiento;Comunarios de Esquilán;GAM Colcapirhua;;GAM Tiquipaya;Firman convenio;SI;Implementación de proyecto;Org. Campesina;Gob municipal;;Gob municipal;Acuerdo;Macoti;Reproducción social;Metropolitana;Colcapirhua;Sin fuente específica;Esquilán;-17.424784;-66.246608;Link;
25;Evalúan en Semapa exigencia de comunarios de pago por el agua;;18/8/09;Los Tiempos;La paralización de las obras del Plan de Expansión de Agua y Alcantarillado a la zona sur de la ciudad y la amenaza de los comunarios de Chapisirka de asumir medidas de hecho si no se les paga 30 centavos de boliviano por cada litro de agua que baje de Escalerani ponen en jaque nuevamente a la administración de Semapa.;Chapisirka;Exigen el pago por el agua;Comunarios de Chapisirka;GAM Cercado;;SEMAPA;Presionan para que se los pague por litro de agua;Si;Derecho de agua;Org. Campesina;Gob municipal;;EPSAS;Manifiesto/ confrontación;Escalerani;Reproducción social;Metropolitana;Cochabamba;Represa Escalerani;Escalerani;-17.185790;-66.208119;Link;
26;Semapa rechaza pago por agua a Chapisirka;;22/8/09;Los Tiempos;El Directorio de Semapa decidió rechazar la solicitud de los comunarios de Chapisirka de cobrar 30 centavos de boliviano por cada litro de agua de la represa de Escalerani que consume la población de Cochabamba y solicitaron a la Prefectura la protección de toda la infraestructura en la zona para evitar que se concreten las amenazas de los campesinos de atentar contra la presa o contaminar el agua embalsada.;Cochabamba;Chapisirka demanda el pago por litro de agua de Escalerani a Semapa;Campesinos de Chapisirka;Semapa;;;Semapa rechazan la demanda de los campesinos de Chapisirka;SI;Derecho de agua;Org. Campesina;EPSAS;;Gob municipal;Negociación/ pausa;Escalerani;Institucional normativo;Metropolitana;Cochabamba;Represa Escalerani;Escalerani;-17.185790;-66.208119;Link;
27;Misicuni: una gigantesca pirámide es promesa de agua;Alcócer Caero Gisela;13/9/09;Los Tiempos;Una presa de gravas con cara de concreto, construida entre dos cerros y con forma piramidal servirá para embalsar 155 millones de metros cúbicos deagua, esto es dos mil veces más de lo que actualmente capta Escalerani, hasta ahora la presa más grande que provee de agua a Cochabamba, junto con la de Wara Wara.;Misicuni;Exigen la conclusió del proyecto Misicuni;;Gobierno central;;;Presentan datos interesantes del proyecto de Misicuni;NO;Implementación de proyecto;;Gob central ejecutivo;;;Análisis/ propuesta;Misicuni Proyecto;Reproducción social;Metropolitana;Todos los de la región;Represa Misicuni;;;;Link;
28;Droga y agua enfrentan a dos comunidades en Vinto;;22/9/09;Los Tiempos;La droga y el agua se han convertido en un causal de enfrentamiento entre las comunidades de Charingo y Pantipata, en las alturas de Vinto, donde se libra una guerra no declarada desde hace dos semanas.;Pantipata;Pantipata, reducto del narcotráfico, rechaza la cotrucción de puesto policial y secuestra el agua de la comunidad de Charingo;Pobladores de Charingo;Pobladores de Pantipata;Prefectura;Policía antidrogas;Pantipata corta el agua a Charingo por un problema delincuencial;SI;Secuestro de aguas;Org. Campesina;Org. Campesina;Gob departamental;Policía;Manifiesto/ confrontación;A Charingo Pantipata;Reproducción social;Metropolitana;Vinto;Río Charingo;Vinto;-17.387998;-66.317684;Link;
29;Líos en Semapa empiezan a afectar suministro de agua;Jorge Fernández;22/9/09;Opinión;La crisis en Semapa se agrava. Vecinos del Distrito Ocho (Sur de la ciudad) tomaron ayer por horas las instalaciones de la empresa, mientras que algunos trabajadores se mantienen en vigilia desde hace 14 días. La población es la más afectada, porque la distribución de agua potable es deficiente a causa de estos problemas.;Cochabamba;Dotación de agua para consumo humano a la zona Sur de Cochabamba;Vecinos del Distrito 8;Semapa;;Alcalde Municipal;Toma de instalaciones;SI;Secuestro de aguas;Org. Vecinal;EPSAS;;;Manifiesto/ confrontación;Agua Zona Sur;Reproducción social;Metropolitana;Cochabamba;Planta Semapa Cbba.;Planta Semapa Cbba.;-17.364083;-66.162578;Link;
30;Dirección Ambiental ratifica que surtidor es un peligro para la laguna Alalay;;22/10/09;Opinión;La Dirección de Gestión Ambiental de la Alcaldía de Cochabamba, ratificó ayer que el surtidor “Alalay” ubicado a 30 metros de la laguna del mismo nombre, constituye una amenaza de contaminación al espejo del agua y a la zona.;Cochabamba;Intervención de Surtidor por contaminación;;GAM Cercado;;;Exigen intervenir el Surtidor;Si;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Surtidor Alalay;-17.406815;-66.145007;Link;
31;Quillacollo, Colcapirhua y Tiquipaya enfrentados por basura en torrenteras;Tatiana Castro;10/12/09;Opinión;Olores pestilentes son la primera sensación al llegar a la torrentera del Chijlahuiri. Los escombros colman las laderas del cauce, los animales hacen un festín con la basura domiciliaria de la zona. Llama la atención la cantidad de raíces de eucalipto dentro y fuera del canal. Los vecinos al ver a la prensa denuncian que la zona de Pampa Grande, jurisdicción entre El Paso y Tiquipaya, se ha convertido en un enorme basurero donde las granjas vecinas botan sus aves muertas y los mataderos de la zona desechan sus desperdicios.;Chijlahiri  Colcapirhua;Exigen limpieza de Torrentera que causa inundaciones en Colcapirhua;GAM Colcapirhua;GAM Quillacollo;;GAM Tiquipaya;Exigen limpieza de Torrentera que causa inundaciones en Colcapirhua;Si;Contaminación de aguas;Gob municipal;Gob municipal;;Gob municipal;Manifiesto/ confrontación;A Chijlahuiri;Ecológico / ambiental;Metropolitana;Varios;Torrentera Chijlahuiri;Colcapirhua;-17.349442;-66.250320;Link;
32;4 OTBs pelean por agua y dinero en Chilimarca;;15/12/09;Los Tiempos;El agua de un pozo entregado la semana pasada por la Alcaldía de Tiquipaya, enfrenta a los vecinos de cuatro OTBs de Chilimarca con los afiliados al Comité de Agua Potable y Alcantarillado Hermógenes Aguilar (Comapaha), quienes ayer estuvieron a punto de agarrarse a palos.;Tiquipaya;Exigen el control de pozos;4 OTBs de Tiquipaya;GAM Tiquipaya;;;Movilización ;SI;Derecho de agua;Org. Vecinal;Gob municipal;;;Manifiesto/ confrontación;Comapaha;Reproducción social;Metropolitana;Tiquipaya;Pozo Comapaha;OTB Max Fernandez;-17.334702;-66.197829;Link;
33;Chilimarca queda sin solución;;17/12/09;Los Tiempos;Con una denuncia por lesiones graves e intento de asesinato, puesta ayer por una veintena de heridos de la OTB Max Fernández, en contra del Comité deAgua Potable y Alcantarillado Hermógenes Aguilar (Comapaha), de Chilimarca, se agrava el conflicto por el control de un pozo. Mientras, la Alcaldía de Tiquipaya dejó en “statu quo” el tratamiento del tema, luego de que los afiliados al comité rechazaran pasar a ser administrados por el municipio, como una sugerencia de solución.;Chilimarca;Piden independizar el sistema de Max Fernández de Comapaha;Vecinos de Chilimarca;GAM Tiquipaya;;;Enfrentamiento por control de pozo;SI;Derecho de agua;Org. Vecinal;Gob municipal;;;Enfrentamiento violento;Comapaha;Reproducción social;Metropolitana;Tiquipaya;Pozo Comapaha;OTB Max Fernandez;-17.334702;-66.197829;Link;
34;Juez ordena entregar pozo a Comité de Agua;;18/12/09;Los Tiempos;La entrega formal del pozo de agua que motivó el enfrentamiento entre vecinos de Chilimarca, está prevista para hoy por la jueza Mirtza Valdivia, en cumplimiento del amparo constitucional concedido al Comité de Agua Potable y Alcantarillado Hermógenes Aguilar (Comapaha).;Chilimarca;Piden independizar el sistema de Max Fernández de Comapaha;OTB Max Fernández;Comité de agua Comapaha;Poder judicial;;Entrega del pozo en cumplimiento del amparo constitucional interpuesto por COMAPAHA;SI;Derecho de agua;Org. Vecinal;EPSAS;Poder judicial;;Manifiesto/ confrontación;Comapaha;Reproducción social;Metropolitana;Tiquipaya;Pozo Comapaha;OTB Max Fernandez;-17.334702;-66.197829;Link;
35;Comité de Aguas gana el pozo en Chilimarca;;19/12/09;Los Tiempos;Después, de cuatro meses de conflicto el Comité de Agua Potable y Alcantarillado Hermógenes Aguilar (Comapaha) recuperó el pozo de las Villas de Chillimarca pese a la oposición de la OTB Max Fernández, que se resistía a ceder la fuente de agua, que se halla en su jurisdicción, arguyendo que el Comité comparta el 25 por ciento de las ganancias con esa junta vecinal y que les permita conectarse a dos pozos bajo una administración independiente.;Chilimarca;Piden independizar el sistema de Max Fernández de Comapaha;OTB Max Fernández;Comité de agua Comapaha;Juzgado Laboral de Quillacollo;;Juez falla en favor del Comité de agua;SI;Derecho de agua;Org. Vecinal;EPSAS;Poder judicial;;Acuerdo;Comapaha;Reproducción social;Metropolitana;Tiquipaya;Pozo Comapaha;OTB Max Fernandez;-17.334702;-66.197829;Link;
36;La basura invade el río Tamborada de Villa México, vecinos protestan;;13/1/10;Opinión;Quién se anime a circular por el río Tamborada se ve forzado a contener la respiración ante los olores nauseabundos provocados por la acumulación de basura y animales muertos botados por los vecinos, peor aún las autoridades del Municipio descuidaron la limpieza a orillas y dentro del río Tamborada en el barrio Don Bosco, más conocido como Villa México.;Cochabamba;Recojo de basura del rio Tamborada;Vecinos de Villa México;GAM Cercado;Comuna Alejo Calatayud;;Exigen limpieza del rio Tamborada;expediente;Contaminación de aguas;Org. Vecinal;Gob municipal;;;Manifiesto/ confrontación;Crecimiento urbano;Ecológico / ambiental;Metropolitana;Cochabamba;Sin fuente específica;Río Tamborada;-17.462299;-66.124920;Link;
37;Denuncian desvío de fondos en Vinto y piden auditorías;Arias Sandra;9/2/10;Los Tiempos;Aumento en sueldos de concejales, excesivos gastos de representación, uso de recursos destinados a obras de inversión en pago de sueldos, adjudicaciones irregulares de contratos y ausencia de fiscalización del Concejo Municipal, entre otras, son algunas de las anomalías por las que el Comité de Vigilancia solicitó que la Contraloría Departamental realice auditorías de las últimas cinco gestiones y que el Viceministerio de Tesoro y Crédito Público congele las cuentas del municipio de Vinto.;Vinto;Exigen el esclarecimiento de desvio de fondos;Vecinos de Vinto;GAM Vinto;;;Exigen una auditoria por desvio de fondos destinado a pozos de agua;NO;Implementación de proyecto;Org. Vecinal;Gob municipal;;;En ciernes;Aislado;Institucional normativo;Metropolitana;Vinto;Sin fuente específica;;;;Link;
38;"La laguna Alalay está libre de ""macrófitas""";;15/3/10;Los Tiempos;La laguna urbana de Alalay está libre de macrófitas. Los llamados “repollitos de agua” casi han desaparecido y han dado paso al paisaje de agua cristalina, aves acuáticas y totorales, en los que suelen anidar algunas de las 136 especies entre residentes y migratorias del caudal, como resultado del trabajo perseverante de más de 100 obreras del Plan de Emergencia de Empleo (Plane).;Laguna Alalay;Exigen limpiar los llamados repollitos de agua;;GAM Cercado;;;Limpian la laguna;Si;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
39;Las represas tienen poca agua;;18/3/10;Los Tiempos;A pocas semanas de que concluya la época de lluvias, el embalse de las represas de Escalerani y Wara Wara, principales fuentes de abastecimiento de agua para consumo humano de la ciudad, está muy por debajo del nivel alcanzado en 2009.;;Instan a racionalizar la distribución de agua;;Semapa;;;Indican que las represas no tienen suficiente cantidad de agua almacenada;expediente;Demanda de agua potable;;EPSAS;;;Análisis/ propuesta;Semapa Gestión;Reproducción social;Metropolitana;Cochabamba;Laguna Wara Wara;;;;Link;
